title	type	url_slug	venue	date	location	talk_url	description
The swap<i>GW</i> method	Invited talk	swapGW_BESC2021	2nd Berkeley Excited States Conference (BESC2021)	2021-01-07	Berkeley, CA	https://workshop.berkeleygw.org/besc2021-program	Effects of Screening from electron-hole interactions on Quasiparticle excitations.
Spin-orbit coupling, exchange, and magnetism in exciton physics of 2D semiconductors	Invited talk	spinorGWBSE	APS March Meeting 2020	2020-03-03	Denver, CO	https://meetings.aps.org/Meeting/MAR20/Session/J57.7	In this talk, we discuss the applications of full-spinor <i>GW</i> and <i>GW</i>-BSE methods to photophysics of 2D materials.
